task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
196	72/fcc5db	560254	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:20.988	1.6s	0ms	36.4%	2.8 MB	11 MB	41.6 KB	3.2 KB
199	b0/c0f17c	560648	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:PLOT_BASE_DENSITY (SAMPLE2_PE.consensus.fa)	COMPLETED	0	2021-11-23 16:26:22.631	7.5s	5s	96.5%	384.7 MB	989.3 MB	23.1 MB	2.6 MB
198	ae/179142	561246	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:PANGOLIN (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:26:30.166	8.3s	8s	106.0%	261.2 MB	1.5 GB	124.4 MB	261.2 KB
197	bf/1d510b	562306	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:NEXTCLADE (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:26:38.454	3.3s	3s	129.8%	275.9 MB	2.1 GB	11 MB	8.8 MB
200	a0/6a48c3	562661	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BEDTOOLS_MASKFASTA (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:26:41.792	1.6s	0ms	40.0%	2.8 MB	11 MB	74.9 KB	29.9 KB
201	e5/b27d3d	562964	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:26:43.381	1.6s	0ms	100.0%	2.8 MB	11 MB	160.7 KB	14 KB
202	e3/d9a183	563187	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BCFTOOLS_CONSENSUS (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:44.938	1.6s	0ms	109.1%	2.8 MB	11 MB	161.5 KB	90 KB
203	96/413641	563424	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:46.525	2.3s	1s	159.2%	10.4 MB	32.1 MB	15.8 MB	10 KB
204	ea/c82470	563765	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:48.852	1.6s	0ms	66.7%	0	0	37.8 KB	1.7 KB
205	4d/09b298	563963	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:50.411	1.6s	0ms	80.0%	2.9 MB	11 MB	60.1 KB	3.7 KB
206	50/c6e1dc	564195	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BCFTOOLS_CONSENSUS (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:26:52.025	1.6s	0ms	75.0%	2.8 MB	11 MB	161.7 KB	90 KB
208	7a/9966ae	564519	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:26:53.654	1.6s	0ms	57.1%	2.6 MB	11 MB	48.5 KB	1.7 KB
